"","Cell_A","Cell_B","lepidic_58.6"
"171","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",NA
"172","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"173","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",NA
"174","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",NA
"175","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",NA
"176","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",NA
"177","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90+PDGFRb-PDPN-CAV1-",NA
"178","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90-PDGFRb+PDPN-CAV1-",NA
"179","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90-PDGFRb-PDPN+CAV1-",NA
"180","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90-PDGFRb-PDPN-CAV1+",NA
"181","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1+",-0.657027502749663
"182","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1-",-0.455245990337849
"183","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1+",-0.608171393002894
"184","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1-",-0.586879716782356
"185","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1-",-0.316239705838907
"186","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1+",-0.363890844269051
"187","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1-",-0.0678802969798065
"188","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1+",-0.363890844269051
"189","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",0.157554173220501
"190","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"191","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",2.30485330759794
"192","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",0.143005398311452
"193","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.209812830315019
"194","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.379173910135918
"195","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90+PDGFRb-PDPN-CAV1-",-0.0938965535632247
"196","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90-PDGFRb+PDPN-CAV1-",NA
"197","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN+CAV1-",-0.0707541857884384
"198","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN-CAV1+",0.211913306317866
"199","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1+",-0.581035378235925
"200","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1-",-0.380551481273573
"201","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1+",-0.481517852146664
"202","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1-",-0.402698517156864
"203","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1-",-0.316956920552876
"204","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1+",-0.730311667369816
"205","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1-",-0.290288096132006
"206","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1+",-0.481517852146664
"207","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.256646519156506
"208","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"209","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",0.160776385113106
"210","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",0.517112878401823
"211","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.564156080524672
"212","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.272839825034265
"213","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-",0.0749946292735463
"214","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-",NA
"215","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-",-0.357120944535089
"216","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN-CAV1+",-0.36778353661608
"217","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1+",-0.501913670214427
"218","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1-",-0.619126109154954
"219","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1+",-0.47653611497494
"220","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1-",-0.624218651989703
"221","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1-",-0.0620170792806181
"222","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1+",0.411678318407127
"223","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1-",-0.0301897022333628
"224","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1+",0.316512486259047
"225","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",0.279910243125172
"226","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"227","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.151548035122317
"228","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.545694348652989
"229","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",3.27070289272813
"230","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.401539372380117
"231","aSMA+CD90-PDGFRb-PDPN-CAV1+","CD90+PDGFRb-PDPN-CAV1-",-0.159316674481343
"232","aSMA+CD90-PDGFRb-PDPN-CAV1+","CD90-PDGFRb+PDPN-CAV1-",NA
"233","aSMA+CD90-PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN+CAV1-",0.0690813226740446
"234","aSMA+CD90-PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN-CAV1+",0.411678318407127
"235","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1+",-0.500171060877026
"236","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1-",-0.33609902703981
"237","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1+",-0.310213734882977
"238","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1-",-0.37030943621721
"239","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1-",-0.319714877438735
"240","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1+",-0.365009117381261
"241","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1-",-0.383274244880688
"242","aSMA+CD90-PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1+",-0.47003360050297
"243","aSMA+CD90-PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.379410467909655
"244","aSMA+CD90-PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"245","aSMA+CD90-PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.362399813452771
"246","aSMA+CD90-PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.272839825034265
"247","aSMA+CD90-PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.418965465754129
"248","aSMA+CD90-PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.0338665386702603
"249","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-",-0.423169128629439
"250","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-",NA
"251","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-",-0.248112301384923
"252","aSMA+CD90-PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN-CAV1+",-0.509564555019589
"253","CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1+",-0.730311667369816
"254","CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1-",-0.385939968555536
"255","CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1+",-0.730311667369816
"256","CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1-",-0.299744049806321
"257","CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1-",-0.291722287064049
"258","CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1+",-0.730311667369816
"259","CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1-",-0.3078500125007
"260","CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1+",-0.730311667369816
"261","CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.730311667369816
"262","CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"263","CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",0.0218152853107015
"264","CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",0.114277863256149
"265","CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.369683250808677
"266","CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.414517226129711
"267","CD90+PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-",1.10856836662663
"268","CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-",NA
"269","CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-",-0.446817662128698
"270","CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN-CAV1+",0.970652364076895
"271","CD90-PDGFRb+PDPN-CAV1-","PanCK+Vim+MUC1+",NA
"272","CD90-PDGFRb+PDPN-CAV1-","PanCK+Vim+MUC1-",NA
"273","CD90-PDGFRb+PDPN-CAV1-","PanCK+Vim-MUC1+",NA
"274","CD90-PDGFRb+PDPN-CAV1-","PanCK+Vim-MUC1-",NA
"275","CD90-PDGFRb+PDPN-CAV1-","PanCK-Vim-MUC1-",NA
"276","CD90-PDGFRb+PDPN-CAV1-","PanCK-Vim+MUC1+",NA
"277","CD90-PDGFRb+PDPN-CAV1-","PanCK-Vim+MUC1-",NA
"278","CD90-PDGFRb+PDPN-CAV1-","PanCK-Vim-MUC1+",NA
"279","CD90-PDGFRb+PDPN-CAV1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",NA
"280","CD90-PDGFRb+PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"281","CD90-PDGFRb+PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",NA
"282","CD90-PDGFRb+PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",NA
"283","CD90-PDGFRb+PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",NA
"284","CD90-PDGFRb+PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",NA
"285","CD90-PDGFRb+PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-",NA
"286","CD90-PDGFRb+PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-",NA
"287","CD90-PDGFRb+PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-",NA
"288","CD90-PDGFRb+PDPN-CAV1-","CD90-PDGFRb-PDPN-CAV1+",NA
"289","CD90-PDGFRb-PDPN+CAV1-","PanCK+Vim+MUC1+",-0.730311667369816
"290","CD90-PDGFRb-PDPN+CAV1-","PanCK+Vim+MUC1-",-0.421537941916114
"291","CD90-PDGFRb-PDPN+CAV1-","PanCK+Vim-MUC1+",-0.730311667369816
"292","CD90-PDGFRb-PDPN+CAV1-","PanCK+Vim-MUC1-",-0.409827316977193
"293","CD90-PDGFRb-PDPN+CAV1-","PanCK-Vim-MUC1-",-0.41630709654221
"294","CD90-PDGFRb-PDPN+CAV1-","PanCK-Vim+MUC1+",2.86061239901768
"295","CD90-PDGFRb-PDPN+CAV1-","PanCK-Vim+MUC1-",-0.476834674448345
"296","CD90-PDGFRb-PDPN+CAV1-","PanCK-Vim-MUC1+",-0.730311667369816
"297","CD90-PDGFRb-PDPN+CAV1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.523142971232076
"298","CD90-PDGFRb-PDPN+CAV1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"299","CD90-PDGFRb-PDPN+CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.144038350408591
"300","CD90-PDGFRb-PDPN+CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.357120944535089
"301","CD90-PDGFRb-PDPN+CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.00705134304441974
"302","CD90-PDGFRb-PDPN+CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.275509992634064
"303","CD90-PDGFRb-PDPN+CAV1-","CD90+PDGFRb-PDPN-CAV1-",-0.446817662128698
"304","CD90-PDGFRb-PDPN+CAV1-","CD90-PDGFRb+PDPN-CAV1-",NA
"305","CD90-PDGFRb-PDPN+CAV1-","CD90-PDGFRb-PDPN+CAV1-",3.34342571886811
"306","CD90-PDGFRb-PDPN+CAV1-","CD90-PDGFRb-PDPN-CAV1+",-0.11472468456053
"307","CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1+",-0.730311667369816
"308","CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1-",-0.402633428112827
"309","CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1+",0.295666637312327
"310","CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1-",-0.474888049763667
"311","CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1-",-0.00568573469072305
"312","CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1+",-0.730311667369816
"313","CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1-",0.1508226413572
"314","CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1+",-0.730311667369816
"315","CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.197592163015627
"316","CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"317","CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",0.274728304563711
"318","CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.325133168292112
"319","CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",0.31379346248339
"320","CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.495474313805745
"321","CD90-PDGFRb-PDPN-CAV1+","CD90+PDGFRb-PDPN-CAV1-",1.45664208734738
"322","CD90-PDGFRb-PDPN-CAV1+","CD90-PDGFRb+PDPN-CAV1-",NA
"323","CD90-PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN+CAV1-",-0.422518175965174
"324","CD90-PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN-CAV1+",3.34342571886811
